study_id	efo_trait	reported_trait	initial_sample	replication_sample	snp_count	publication_date	pubmed_id	title	publication
GCST90013909	seeing a general practitioner for nerves, anxiety, tension or depression, self-reported	Seen doctor for nerves anxiety tension or depression (UKB data field 2090) (Firth correction)	407,746 British ancestry individuals	NA	11914699	2021-05-20	34017140	Computationally efficient whole-genome regression for quantitative and binary traits.	Nat Genet
GCST90013916	increased blood pressure	High blood pressure (UKB data field 6150) (Firth correction)	407,746 British ancestry individuals	NA	11914699	2021-05-20	34017140	Computationally efficient whole-genome regression for quantitative and binary traits.	Nat Genet
GCST90013922	family history of lung cancer	Any parental history of lung cancer (Firth correction)	407,521 British ancestry individuals	NA	11914699	2021-05-20	34017140	Computationally efficient whole-genome regression for quantitative and binary traits.	Nat Genet
GCST90013927	spinal cord disease	Spinal cord disorder (SPA correction)	407,746 British ancestry individuals	NA	11914699	2021-05-20	34017140	Computationally efficient whole-genome regression for quantitative and binary traits.	Nat Genet
GCST90013932	hypercholesterolemia	High cholesterol (SPA correction)	407,746 British ancestry individuals	NA	11914699	2021-05-20	34017140	Computationally efficient whole-genome regression for quantitative and binary traits.	Nat Genet
GCST90013939	cholelithiasis/gallstones	Cholelithiasis gall stones (SPA correction)	404,405 British ancestry individuals	NA	11914699	2021-05-20	34017140	Computationally efficient whole-genome regression for quantitative and binary traits.	Nat Genet
GCST90013945	epilepsy	Epilepsy (SPA correction)	407,746 British ancestry individuals	NA	11914699	2021-05-20	34017140	Computationally efficient whole-genome regression for quantitative and binary traits.	Nat Genet
GCST90013950	bronchitis	Bronchitis (SPA correction)	407,746 British ancestry individuals	NA	11914699	2021-05-20	34017140	Computationally efficient whole-genome regression for quantitative and binary traits.	Nat Genet
GCST90013952	atrial fibrillation	Atrial fibrillation (SPA correction)	407,746 British ancestry individuals	NA	11914699	2021-05-20	34017140	Computationally efficient whole-genome regression for quantitative and binary traits.	Nat Genet
GCST90013960	seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported	Seen psychiatrist for nerves anxiety tension or depression (UKB data field 2100) (SPA correction)	407,746 British ancestry individuals	NA	11914699	2021-05-20	34017140	Computationally efficient whole-genome regression for quantitative and binary traits.	Nat Genet
GCST90013977	erythrocyte count	Red blood cell erythrocyte count (UKB data field 30010)	396,625 British ancestry individuals	NA	11914699	2021-05-20	34017140	Computationally efficient whole-genome regression for quantitative and binary traits.	Nat Genet
GCST90013982	lymphocyte count	Lymphocyte count (UKB data field 30120)	395,949 British ancestry individuals	NA	11914699	2021-05-20	34017140	Computationally efficient whole-genome regression for quantitative and binary traits.	Nat Genet
GCST90013983	monocyte count	Monocyte count (UKB data field 30130)	395,949 British ancestry individuals	NA	11914699	2021-05-20	34017140	Computationally efficient whole-genome regression for quantitative and binary traits.	Nat Genet
GCST90013985	eosinophil count	Eosinophill count (UKB data field 30150)	395,949 British ancestry individuals	NA	11914699	2021-05-20	34017140	Computationally efficient whole-genome regression for quantitative and binary traits.	Nat Genet
GCST90013989	sodium measurement	Sodium in urine (UKB data field 30530)	396,020 British ancestry individuals	NA	11914699	2021-05-20	34017140	Computationally efficient whole-genome regression for quantitative and binary traits.	Nat Genet
GCST90013995	peak expiratory flow	Peak expiratory flow (UKB data field 3064)	374,599 British ancestry individuals	NA	11914699	2021-05-20	34017140	Computationally efficient whole-genome regression for quantitative and binary traits.	Nat Genet
GCST90014010	phosphate measurement	Phosphate levels (UKB data field 30810)	357,302 British ancestry individuals	NA	11914699	2021-05-20	34017140	Computationally efficient whole-genome regression for quantitative and binary traits.	Nat Genet
GCST90014020	waist circumference	Waist circumference (UKB data field 48)	407,661 British ancestry individuals	NA	11914699	2021-05-20	34017140	Computationally efficient whole-genome regression for quantitative and binary traits.	Nat Genet
GCST90014033	hemorrhoid	Haemorrhoidal disease	218,920 European ancestry cases, 725,213 European ancestry controls	NA	 8494288	2021-04-22	33888516	Genome-wide analysis of 944 133 individuals provides insights into the etiology of haemorrhoidal disease.	Gut
GCST90014054	shoulder impingement syndrome	Shoulder impingement	3,864 European ancestry cases, 208,258 European ancestry controls	NA	17556449	2021-01-19	33482370	A Genome Wide Association Study For Shoulder Impingement and Rotator Cuff Disease.	J Shoulder Elbow Surg
GCST90014266	retinal nerve fibre layer thickness measurement	Retinal nerve fibre layer (RNFL) thickness	31,434 European ancestry individuals	NA	 9231066	2021-05-12	33979322	Genetic variation affects morphological retinal phenotypes extracted from UK Biobank optical coherence tomography images.	PLoS Genet
GCST90014267	ganglion cell inner plexiform layer thickness measurement	Ganglion cell inner plexiform layer (GCIPL) thickness	31,434 European ancestry individuals	NA	 9231066	2021-05-12	33979322	Genetic variation affects morphological retinal phenotypes extracted from UK Biobank optical coherence tomography images.	PLoS Genet
GCST90014292	aging	DNA methylation PhenoAge acceleration	34,463 European ancestry individuals	NA	 7568033	2021-06-29	34187551	Genome-wide association studies identify 137 genetic loci for DNA methylation biomarkers of aging.	Genome Biol
GCST90016666	liver volume	Liver volume	32,860 European ancestry individuals	NA	 9390170	2021-06-15	34128465	Genetic architecture of 11 organ traits derived from abdominal MRI using deep learning.	Elife
GCST90016667	spleen volume	Spleen volume	32,860 European ancestry individuals	NA	 9390170	2021-06-15	34128465	Genetic architecture of 11 organ traits derived from abdominal MRI using deep learning.	Elife
GCST90016668	lung volume	Lung volume	32,860 European ancestry individuals	NA	 9390170	2021-06-15	34128465	Genetic architecture of 11 organ traits derived from abdominal MRI using deep learning.	Elife
GCST90016669	pancreas volume	Pancreas volume	31,758 European ancestry individuals	NA	 9390170	2021-06-15	34128465	Genetic architecture of 11 organ traits derived from abdominal MRI using deep learning.	Elife
GCST90016670	kidney volume	Kidney volume	32,860 European ancestry individuals	NA	 9390170	2021-06-15	34128465	Genetic architecture of 11 organ traits derived from abdominal MRI using deep learning.	Elife
GCST90016674	liver iron measurement	Liver iron content	32,858 European ancestry individuals	NA	 9390170	2021-06-15	34128465	Genetic architecture of 11 organ traits derived from abdominal MRI using deep learning.	Elife
GCST90017143	fructosamine measurement	Fructosamine levels	20,731 European ancestry individuals	NA	19100024	2021-11-09	34753797	An Expanded Genome-Wide Association Study of Fructosamine Levels Identifies RCN3 as a Replicating Locus and Implicates FCGRT as the Effector Transcript.	Diabetes
GCST90019392	blood protein measurement	Complement component C8 gamma chain measurement	10,708 European ancestry individuals	NA	17652797	2020-12-16	33328453	Genetic architecture of host proteins involved in SARS-CoV-2 infection.	Nat Commun
GCST90019418	NADPH--cytochrome P450 reductase measurement	NADPH--cytochrome P450 reductase measurement	10,708 European ancestry individuals	NA	17652797	2020-12-16	33328453	Genetic architecture of host proteins involved in SARS-CoV-2 infection.	Nat Commun
GCST90019426	interleukin 1 receptor-like 2 measurement	Interleukin-1 receptor-like 2 measurement	10,708 European ancestry individuals	NA	17652797	2020-12-16	33328453	Genetic architecture of host proteins involved in SARS-CoV-2 infection.	Nat Commun
GCST90019435	complement C1r subcomponent measurement	Complement C1r subcomponent measurement	10,708 European ancestry individuals	NA	17652797	2020-12-16	33328453	Genetic architecture of host proteins involved in SARS-CoV-2 infection.	Nat Commun
GCST90019447	blood protein measurement	Growth/differentiation factor 15 measurement	10,708 European ancestry individuals	NA	17652797	2020-12-16	33328453	Genetic architecture of host proteins involved in SARS-CoV-2 infection.	Nat Commun
GCST90019449	blood protein measurement	Gelsolin measurement	10,708 European ancestry individuals	NA	17652797	2020-12-16	33328453	Genetic architecture of host proteins involved in SARS-CoV-2 infection.	Nat Commun
GCST90019457	interleukin 7 receptor subunit alpha measurement	Interleukin-7 receptor subunit alpha measurement	10,708 European ancestry individuals	NA	17652797	2020-12-16	33328453	Genetic architecture of host proteins involved in SARS-CoV-2 infection.	Nat Commun
GCST90019459	blood protein measurement	Prothrombin measurement	10,708 European ancestry individuals	NA	17652797	2020-12-16	33328453	Genetic architecture of host proteins involved in SARS-CoV-2 infection.	Nat Commun
GCST90019460	interleukin 1 receptor antagonist measurement	Interleukin-1 receptor antagonist protein measurement	10,708 European ancestry individuals	NA	17652797	2020-12-16	33328453	Genetic architecture of host proteins involved in SARS-CoV-2 infection.	Nat Commun
GCST90020026	BMI-adjusted hip circumference	Hip index	219,872 British ancestry women	NA	  321788	2021-05-21	34021172	GWAS of allometric body-shape indices in UK Biobank identifies loci suggesting associations with morphogenesis, organogenesis, adrenal cell renewal and cancer.	Sci Rep
GCST90020053	frailty measurement	Frailty index	175,226 European ancestry individuals	NA	 7666890	2021-08-25	34431594	A genome-wide association study of the frailty index highlights brain pathways in ageing.	Aging Cell
GCST90020091	estradiol measurement	Estradiol levels	13,367 European ancestry male cases, 134,323 European ancestry male controls	NA	 7871717	2021-07-13	34255042	Genome-Wide Association Study of Estradiol Levels, and the Causal Effect of Estradiol on Bone Mineral Density.	J Clin Endocrinol Metab
GCST90020190	cerebellar volume measurement	Total cerebellar volume (excluding Crus I vermis)	33,265 European ancestry individuals	NA	 6193476	2022-01-25	35079123	Genetic common variants associated with cerebellar volume and their overlap with mental disorders: a study on 33,265 individuals from the UK-Biobank.	Mol Psychiatry
GCST90020192	cerebellar volume measurement	Superior Posterior lobe of cerebellar volume (including VI to Crus I hemispheric lobules)	33,251 European ancestry individuals	NA	 6193476	2022-01-25	35079123	Genetic common variants associated with cerebellar volume and their overlap with mental disorders: a study on 33,265 individuals from the UK-Biobank.	Mol Psychiatry
GCST90020195	cerebellar volume measurement	Inferior Posterior lobe of cerebellar volume (including Crus II to IX vermal lobules)	33,251 European ancestry individuals	NA	 6193476	2022-01-25	35079123	Genetic common variants associated with cerebellar volume and their overlap with mental disorders: a study on 33,265 individuals from the UK-Biobank.	Mol Psychiatry
GCST90025971	Immature Reticulocyte Fraction Measurement	Immature fraction of reticulocytes	438,154 European ancestry individuals	NA	 9800000	2021-07-05	34226706	Whole-exome imputation within UK Biobank powers rare coding variant association and fine-mapping analyses.	Nat Genet
GCST90025978	FEV/FEC ratio	Lung function (FEV1/FVC)	371,898 European ancestry individuals	NA	 9800000	2021-07-05	34226706	Whole-exome imputation within UK Biobank powers rare coding variant association and fine-mapping analyses.	Nat Genet
GCST90025980	aspartate aminotransferase measurement	Aspartate aminotransferase levels	436,275 European ancestry individuals	NA	 9800000	2021-07-05	34226706	Whole-exome imputation within UK Biobank powers rare coding variant association and fine-mapping analyses.	Nat Genet
GCST90025987	eosinophil count	Eosinophil counts	440,275 European ancestry individuals	NA	 9800000	2021-07-05	34226706	Whole-exome imputation within UK Biobank powers rare coding variant association and fine-mapping analyses.	Nat Genet
GCST90025990	calcium measurement	Calcium levels	400,792 European ancestry individuals	NA	 9800000	2021-07-05	34226706	Whole-exome imputation within UK Biobank powers rare coding variant association and fine-mapping analyses.	Nat Genet
GCST90028992	eosinophil count	White blood cell count (eosinophil)	513,859 European ancestry individuals	NA	12007311	2018-07-01	29892013	Mixed-model association for biobank-scale datasets.	Nat Genet
GCST90028994	lymphocyte count	White blood cell count (lymphocyte)	509,277 European ancestry individuals	NA	12007506	2018-07-01	29892013	Mixed-model association for biobank-scale datasets.	Nat Genet
GCST90029027	vital capacity	Lung function (FVC)	422,876 European ancestry individuals	NA	12005862	2018-07-01	29892013	Mixed-model association for biobank-scale datasets.	Nat Genet
GCST90029034	sunburn	Sunburns	350,232 European ancestry individuals	NA	12010706	2018-07-01	29892013	Mixed-model association for biobank-scale datasets.	Nat Genet
GCST90032674	serum lipopolysaccharide activity	Serum lipopolysaccharide activity	11,296 European ancestry individuals	NA	 9900000	2021-10-20	34668383	Genetic Profile of Endotoxemia Reveals an Association With Thromboembolism and Stroke.	J Am Heart Assoc
GCST90041705	enteritis	Bacterial enteritis (PheCode 8.5)	1,066 European ancestry cases, 455,282 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041715	chronic hepatitis	Chronic hepatitis (PheCode 70.4)	181 European ancestry cases, 456,167 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041718	common wart	Viral warts & HPV (PheCode 78)	756 European ancestry cases, 455,592 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041719	Chlamydiaceae Infections	Viral infection (PheCode 79)	1,621 European ancestry cases, 454,727 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041720	post-operative sign or symptom	Postoperative infection (PheCode 80)	3,056 European ancestry cases, 453,292 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041722	burn	Burns (PheCode 1000)	487 European ancestry cases, 455,861 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041725	diet measurement	Added milk to instant coffee (UKB data field 100260)	64,001 European ancestry individuals	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041726	diet measurement	Added milk to filtered coffee (UKB data field 100280)	8,378 European ancestry cases, 55,623 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041727	sign or symptom	Symptoms concerning nutrition, metabolism, and development (PheCode 1002)	1,482 European ancestry cases, 454,866 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041733	crush injury	Crushing injury (PheCode 1006)	186 European ancestry cases, 456,162 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041736	heart injury	Crushing or internal injury to organs (PheCode 1008)	536 European ancestry cases, 455,812 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041741	diet measurement	Type milk consumed: soya with calcium (UKB data field 100920_2105)	1,977 European ancestry cases, 62,024 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041751	animal viral hepatitis	Other tests (PheCode 1010)	4,249 European ancestry cases, 452,099 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041754	disease	Other ill-defined and unknown causes of morbidity and mortality (PheCode 1019)	10,656 European ancestry cases, 445,692 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041773	functional laterality	Usual side of head for mobile phone use: Right (UKB data field 1150_2)	221,755 European ancestry cases, 161,525 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041787	diet measurement	Bread type: White (UKB data field 1448_1)	115,996 European ancestry cases, 324,088 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041791	tongue neoplasm	Cancer of tongue (PheCode 145.2)	322 European ancestry cases, 456,026 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041792	Major Salivary Gland Carcinoma	Cancer of major salivary glands (PheCode 145.3)	105 European ancestry cases, 456,243 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041796	diet measurement	Cereal type: Oat cereal (e.g. Ready Brek, porridge) (UKB data field 1468_3)	96,498 European ancestry cases, 281,303 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041799	tonsil cancer	Cancer of oropharynx (PheCode 149.1)	270 European ancestry cases, 456,078 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041800	Malignant Laryngeal Neoplasm	Cancer of larynx (PheCode 149.4)	269 European ancestry cases, 456,079 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041812	liver cancer	Malignant neoplasm of liver, primary (PheCode 155.1)	128 European ancestry cases, 456,220 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041815	digestive system neoplasm	Neoplasm of unspecified nature of digestive system (PheCode 158)	976 European ancestry cases, 455,372 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041816	small intestine cancer	Malignant neoplasm of small intestine, including duodenum (PheCode 159.2)	172 European ancestry cases, 456,176 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041817	carcinoma of gallbladder and extrahepatic biliary tract	Malignant neoplasm of gallbladder and extrahepatic bile ducts (PheCode 159.3)	195 European ancestry cases, 456,153 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041821	bronchus cancer/lung cancer	Cancer of bronchus; lung (PheCode 165.1)	2,120 European ancestry cases, 454,228 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041822	respiratory system cancer	Cancer within the respiratory system (PheCode 165)	213 European ancestry cases, 456,135 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041825	connective tissue neoplasm	Cancer of connective tissue (PheCode 170.2)	319 European ancestry cases, 456,029 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041833	breast neoplasm	Malignant neoplasm of female breast (PheCode 174.11)	10,971 European ancestry cases, 445,377 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041835	breast neoplasm	Neoplasm of uncertain behavior of breast (PheCode 174.3)	111 European ancestry cases, 247,429 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041838	hair colour measurement	Hair colour (natural, before greying): Light brown (UKB data field 1747_3)	185,000 European ancestry cases, 270,164 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041844	environmental tobacco smoke exposure measurement	Maternal smoking around birth (UKB data field 1787)	120,297 European ancestry cases, 271,695 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041846	cervical carcinoma	Cervical cancer (PheCode 180.1)	258 European ancestry cases, 247,282 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041855	male reproductive organ cancer	Cancer of other male genital organs (PheCode 187)	41 European ancestry cases, 208,767 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041857	urinary bladder carcinoma	Malignant neoplasm of bladder (PheCode 189.21)	2,264 European ancestry cases, 454,084 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041859	malignant urinary system neoplasm	Malignant neoplasm of other urinary organs (PheCode 189.4)	105 European ancestry cases, 456,243 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041872	lymph node neoplasm	Secondary malignancy of lymph nodes (PheCode 198.1)	908 European ancestry cases, 455,440 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041873	secondary malignant neoplasm	Secondary malignancy of respiratory organs (PheCode 198.2)	801 European ancestry cases, 455,547 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041883	polycythemia vera	Polycythemia vera (PheCode 200.1)	334 European ancestry cases, 456,014 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041887	skin carcinoma	Cancer code, self-reported: skin cancer (UKB data field 20001_1003)	1,428 European ancestry cases, 454,848 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041889	laryngeal neoplasm	Cancer code, self-reported: larynx/throat cancer (UKB data field 20001_1006)	341 European ancestry cases, 455,935 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041893	small intestine carcinoma	Cancer code, self-reported: small intestine/small bowel cancer (UKB data field 20001_1019)	208 European ancestry cases, 456,068 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041897	hepatocellular carcinoma	Cancer code, self-reported: liver/hepatocellular cancer (UKB data field 20001_1024)	165 European ancestry cases, 456,111 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041898	eye neoplasm	Cancer code, self-reported: eye and/or adnexal cancer (UKB data field 20001_1030)	135 European ancestry cases, 456,141 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041920	sarcoma/fibrosarcoma	Cancer code, self-reported: sarcoma/fibrosarcoma (UKB data field 20001_1068)	235 European ancestry cases, 456,041 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041921	lymphoid neoplasm	Cancer code, self-reported: malignant lymph node, unspecified (UKB data field 20001_1070)	121 European ancestry cases, 456,155 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041937	clinical treatment	Treatment or medication use - quinapril (UKB data field 20003_1140860728)	197 European ancestry cases, 456,079 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
