study_id	efo_trait	reported_trait	initial_sample	replication_sample	snp_count	publication_date	pubmed_id	title	publication
GCST90043722	coffee consumption	Caffeine drink within last hour (UKB data field 3089)	8,800 European ancestry cases, 409,944 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041724	coffee consumption	Coffee consumed (UKB data field 100240)	45,146 European ancestry cases, 18,855 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90044317	sugar consumption measurement	Never eat eggs, dairy, wheat, sugar: Sugar or foods/drinks containing sugar (UKB data field 6144_4)	85,521 European ancestry cases, 368,978 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041757	sugar consumption measurement	Sweet snack consumers (UKB data field 102250)	34,656 European ancestry cases, 29,345 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042616	eating behaviour	Type of meals eaten: Home cooked meals (UKB data field 20089_465)	51,021 European ancestry cases, 12,980 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042615	eating behaviour	Type of meals eaten: Ready meals (UKB data field 20089_464)	5,003 European ancestry cases, 58,998 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042614	eating behaviour	Type of meals eaten: Bought sandwiches (UKB data field 20089_463)	5,739 European ancestry cases, 58,262 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042613	eating behaviour	Type of meals eaten: Restaurant meals (UKB data field 20089_462)	9,685 European ancestry cases, 54,316 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042612	eating behaviour	Type of meals eaten: Takeaway meals (UKB data field 20089_461)	2,574 European ancestry cases, 61,427 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90044458	stress-related disorder	stress incontinence, female (PheCode 624.9)	5,093 European ancestry cases, 451,255 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042820	body weight/unipolar depression	Weight change during worst episode of depression: Lost weight (UKB data field 20536_2)	25,498 European ancestry cases, 45,587 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042819	body weight/unipolar depression	Weight change during worst episode of depression: Gained weight (UKB data field 20536_1)	12,349 European ancestry cases, 58,736 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042818	body weight/unipolar depression	Weight change during worst episode of depression: Stayed about the same or was on a diet (UKB data field 20536_0)	28,708 European ancestry cases, 42,377 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90095138	t-tau measurement	Circulating levels of total-tau	14,721 European ancestry individuals	NA	10082601	2022-04-08	35396452	Meta-analysis of genome-wide association studies identifies ancestry-specific associations underlying circulating total tau levels.	Commun Biol
GCST006907	large artery stroke	Ischemic stroke (large artery atherosclerosis)	4,373 European ancestry cases, 406,111 European ancestry controls	NA	8000000	2018-03-12	29531354	Multiancestry genome-wide association study of 520,000 subjects identifies 32 loci associated with stroke and stroke subtypes.	Nat Genet
GCST006909	small vessel stroke	Ischemic stroke (small-vessel)	5,386 European ancestry cases, 192,662 European ancestry controls	NA	8000000	2018-03-12	29531354	Multiancestry genome-wide association study of 520,000 subjects identifies 32 loci associated with stroke and stroke subtypes.	Nat Genet
GCST006910	cardioembolic stroke	Ischemic stroke (cardioembolic)	7,193 European ancestry cases, 406,111 European ancestry controls	NA	8000000	2018-03-12	29531354	Multiancestry genome-wide association study of 520,000 subjects identifies 32 loci associated with stroke and stroke subtypes.	Nat Genet
GCST90043997	occlusion precerebral artery/stroke	Occlusion of cerebral arteries, with cerebral infarction (PheCode 433.11)	134 European ancestry cases, 456,214 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043998	occlusion precerebral artery	Occlusion and stenosis of precerebral arteries (PheCode 433.1)	630 European ancestry cases, 455,718 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043999	occlusion precerebral artery/stroke	Cerebral artery occlusion, with cerebral infarction (PheCode 433.21)	1,830 European ancestry cases, 454,518 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90239823_buildGRCh37	free androgen index	Free androgen index	162,068 British ancestry men	NA	17239132	2023-01-18	36653534	Genetic analyses implicate complex links between adult testosterone levels and health and disease.	Commun Med (Lond)
GCST90085870_buildGRCh38	frontal pole volume measurement	Right frontal pole volume (UKB data field 26920)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90042589_buildGRCh37	fish oil supplement exposure measurement	Vitamin and/or mineral supplement use: Fish oil (UKB data field 20084_472)	15,374 European ancestry cases, 48,627 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90085897_buildGRCh38	superior parietal cortex volume measurement	Right superior parietal volume (UKB data field 26917)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085857_buildGRCh38	superior temporal gyrus volume measurement	Left superior temporal volume (UKB data field 26817)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085856_buildGRCh38	superior parietal cortex volume measurement	Left superior parietal volume (UKB data field 26816)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085896_buildGRCh38	superior frontal gyrus volume measurement	Right superior frontal volume (UKB data field 26916)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90246095_buildGRCh37	subarachnoid hemorrhage	ICD10 I60: Nontraumatic subarachnoid hemorrhage	602 Chinese ancestry cases, 75,712 Chinese ancestry controls	NA	8752703	2023-07-20	37601966	Genotyping and population characteristics of the China Kadoorie Biobank.	Cell Genom
GCST90085874_buildGRCh38	inferior temporal gyrus volume measurement	Right inferior temporal volume (UKB data field 26897)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085822_buildGRCh38	banks of the superior temporal sulcus volume measurement	Left banks of superior temporal sulcus volume (UKB data field 26789)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90162548_buildGRCh37	executive function measurement	Common executive function	93,024 European ancestry individuals	NA	NA	2022-07-14	36150907	Genome-wide Association Study Shows That Executive Functioning Is Influenced by GABAergic Processes and Is a Neurocognitive Genetic Correlate of Psychiatric Disorders.	Biol Psychiatry
GCST90085883_buildGRCh38	paracentral lobule volume measurement	Right paracentral volume (UKB data field 26905)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085850_buildGRCh38	precentral gyrus volume measurement	Left precentral volume (UKB data field 26811)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085846_buildGRCh38	pars triangularis volume measurement	Left pars triangularis volume (UKB data field 26807)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085880_buildGRCh38	medial orbital frontal cortex volume measurement	Right medial orbitofrontal volume (UKB data field 26902)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085826_buildGRCh38	cuneus cortex volume measurement	Left cuneus volume (UKB data field 26792)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90179118_buildGRCh37	executive function measurement	Trail making task-B	93,024 European ancestry individuals	NA	NA	2022-07-14	36150907	Genome-wide Association Study Shows That Executive Functioning Is Influenced by GABAergic Processes and Is a Neurocognitive Genetic Correlate of Psychiatric Disorders.	Biol Psychiatry
GCST90012662_buildGRCh37	thyroxine measurement	Thyroxine (T4) free [Mass/volume] in Serum or Plasma	26,231 European ancestry individuals	NA	6240610	2021-01-13	33441150	Clinical laboratory test-wide association scan of polygenic scores identifies biomarkers of complex disease.	Genome Med
GCST90085851_buildGRCh38	precuneus cortex volume measurement	Left precuneus volume (UKB data field 26812)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085876_buildGRCh38	isthmus cingulate cortex volume measurement	Right isthmus cingulate volume (UKB data field 26898)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085830_buildGRCh38	fusiform gyrus volume measurement	Left fusiform volume (UKB data field 26794)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90246101_buildGRCh37	occlusion precerebral artery	ICD10 I65: Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction	791 Chinese ancestry cases, 75,463 Chinese ancestry controls	NA	8900463	2023-07-20	37601966	Genotyping and population characteristics of the China Kadoorie Biobank.	Cell Genom
GCST90085888_buildGRCh38	pericalcarine cortex volume measurement	Right pericalcarine volume (UKB data field 26909)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085829_buildGRCh38	frontal pole volume measurement	Left frontal pole volume (UKB data field 26819)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085863_buildGRCh38	banks of the superior temporal sulcus volume measurement	Right banks of superior temporal sulcus volume (UKB data field 26890)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90132934_buildGRCh37	sugar consumption measurement	Never eat sugar vs no sugar restrictions (UKB data field 6144)	447,391 European ancestry individuals	NA	NA	2020-03-19	32193382	Comprehensive genomic analysis of dietary habits in UK Biobank identifies hundreds of genetic associations.	Nat Commun
GCST90085894_buildGRCh38	rostral anterior cingulate cortex volume measurement	Right rostral anterior cingulate volume (UKB data field 26914)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085849_buildGRCh38	posterior cingulate cortex volume measurement	Left posterior cingulate volume (UKB data field 26810)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90239820_buildGRCh37	testosterone measurement	Total testosterone levels	174,850 British ancestry women	NA	17239132	2023-01-18	36653534	Genetic analyses implicate complex links between adult testosterone levels and health and disease.	Commun Med (Lond)
GCST90085885_buildGRCh38	pars opercularis volume measurement	Right pars opercularis volume (UKB data field 26906)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085847_buildGRCh38	pericalcarine cortex volume measurement	Left pericalcarine volume (UKB data field 26808)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085887_buildGRCh38	pars triangularis volume measurement	Right pars triangularis volume (UKB data field 26908)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085827_buildGRCh38	ventral diencephalon volume measurement	Left ventral diencephalon (DC) volume (UKB data field 26565)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085878_buildGRCh38	lateral orbital frontal cortex volume measurement	Right lateral orbitofrontal volume (UKB data field 26900)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085833_buildGRCh38	inferior temporal gyrus volume measurement	Left inferior temporal volume (UKB data field 26796)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90132983_buildGRCh37	tea consumption measurement	Tea intake (UKB data field 1488)	448,060 European ancestry individuals	NA	NA	2020-03-19	32193382	Comprehensive genomic analysis of dietary habits in UK Biobank identifies hundreds of genetic associations.	Nat Commun
GCST90085865_buildGRCh38	caudal middle frontal gyrus volume measurement	Right caudal middle frontal volume (UKB data field 26892)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085842_buildGRCh38	paracentral lobule volume measurement	Left paracentral volume (UKB data field 26804)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90042588_buildGRCh37	vitamin supplement exposure measurement	Vitamin and/or mineral supplement use: Multivitamin with multimineral (UKB data field 20084_471)	3,731 European ancestry cases, 60,270 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90239819_buildGRCh37	testosterone measurement	Total testosterone levels	176,212 British ancestry men	NA	17239132	2023-01-18	36653534	Genetic analyses implicate complex links between adult testosterone levels and health and disease.	Commun Med (Lond)
GCST90085828_buildGRCh38	entorhinal cortex volume measurement	Left entorhinal volume (UKB data field 26793)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085864_buildGRCh38	caudal anterior cingulate cortex volume measurement	Right caudal anterior cingulate volume (UKB data field 26891)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085839_buildGRCh38	medial orbital frontal cortex volume measurement	Left medial orbitofrontal volume (UKB data field 26801)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90239821_buildGRCh37	sex hormone-binding globulin measurement	Sex hormone-binding globulin levels	163,363 British ancestry men	NA	17239132	2023-01-18	36653534	Genetic analyses implicate complex links between adult testosterone levels and health and disease.	Commun Med (Lond)
GCST90085877_buildGRCh38	lateral occipital cortex volume measurement	Right lateral occipital volume (UKB data field 26899)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90104467_buildGRCh37	reading and spelling ability	Spelling	17,278 European ancestry individuals	NA	7829087	2022-08-23	35998220	Genome-wide analyses of individual differences in quantitatively assessed reading- and language-related skills in up to 34,000 people.	Proc Natl Acad Sci U S A
GCST90085848_buildGRCh38	postcentral gyrus volume measurement	Left postcentral volume (UKB data field 26809)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085838_buildGRCh38	lingual gyrus volume measurement	Left lingual volume (UKB data field 26800)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90012670_buildGRCh37	blood bicarbonate measurement	Bicarbonate [Moles/volume] in Unspecified specimen	16,640 European ancestry individuals	NA	6240610	2021-01-13	33441150	Clinical laboratory test-wide association scan of polygenic scores identifies biomarkers of complex disease.	Genome Med
GCST90104471_buildGRCh37	non-word reading	Non-word repetition	12,828 European ancestry individuals	NA	7798762	2022-08-23	35998220	Genome-wide analyses of individual differences in quantitatively assessed reading- and language-related skills in up to 34,000 people.	Proc Natl Acad Sci U S A
GCST90085855_buildGRCh38	superior frontal gyrus volume measurement	Left superior frontal volume (UKB data field 26815)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085890_buildGRCh38	posterior cingulate cortex volume measurement	Right posterior cingulate volume (UKB data field 26911)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90012768_buildGRCh37	I-urobilinogen measurement	Urobilinogen [Presence] in Urine by Test strip	16,922 European ancestry individuals	NA	6240610	2021-01-13	33441150	Clinical laboratory test-wide association scan of polygenic scores identifies biomarkers of complex disease.	Genome Med
GCST90085869_buildGRCh38	entorhinal cortex volume measurement	Right entorhinal volume (UKB data field 26894)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085868_buildGRCh38	ventral diencephalon volume measurement	Right ventral diencephalon (DC) volume (UKB data field 26596)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085871_buildGRCh38	fusiform gyrus volume measurement	Right fusiform volume (UKB data field 26895)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90132933_buildGRCh37	sugar consumption measurement	Never eat sugar vs no eggs, dairy, wheat or sugar restrictions (UKB data field 6144)	427,790 European ancestry individuals	NA	NA	2020-03-19	32193382	Comprehensive genomic analysis of dietary habits in UK Biobank identifies hundreds of genetic associations.	Nat Commun
GCST90239822_buildGRCh37	sex hormone-binding globulin measurement	Sex hormone-binding globulin levels	188,443 British ancestry women	NA	17239132	2023-01-18	36653534	Genetic analyses implicate complex links between adult testosterone levels and health and disease.	Commun Med (Lond)
GCST90042586_buildGRCh37	vitamin supplement exposure measurement	Vitamin and/or mineral supplement use: Multivitamin with iron (UKB data field 20084_469)	1,606 European ancestry cases, 62,395 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90085836_buildGRCh38	lateral occipital cortex volume measurement	Left lateral occipital volume (UKB data field 26798)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085889_buildGRCh38	postcentral gyrus volume measurement	Right postcentral volume (UKB data field 26910)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085858_buildGRCh38	supramarginal gyrus volume measurement	Left supramarginal volume (UKB data field 26818)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085886_buildGRCh38	pars orbitalis volume measurement	Right pars orbitalis volume (UKB data field 26907)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085845_buildGRCh38	pars orbitalis volume measurement	Left pars orbitalis volume (UKB data field 26806)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085832_buildGRCh38	inferior parietal cortex volume measurement	Left inferior parietal volume (UKB data field 26795)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085843_buildGRCh38	parahippocampal gyrus volume measurement	Left parahippocampal volume (UKB data field 26803)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085884_buildGRCh38	parahippocampal gyrus volume measurement	Right parahippocampal volume (UKB data field 26904)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90085824_buildGRCh38	caudal middle frontal gyrus volume measurement	Left caudal middle frontal volume (UKB data field 26791)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
GCST90012754_buildGRCh37	t-tau measurement	Tau protein [Presence] in Body fluid	44,329 European ancestry individuals	NA	6240610	2021-01-13	33441150	Clinical laboratory test-wide association scan of polygenic scores identifies biomarkers of complex disease.	Genome Med
GCST90085819_buildGRCh38	brain stem volume measurement	Brain stem volume (UKB data field 26526)	36,778 European ancestry individuals	NA	9932682	2023-03-29	36987996	General dimensions of human brain morphometry inferred from genome-wide association data.	Hum Brain Mapp
